User_ID,Event_ID
1130,495
3933,677
1923,546
2296,542
4047,563
2261,68
293,704
2359,856
3694,172
1965,506
1368,345
200,899
1901,296
4033,783
3520,599
2412,326
2158,254
593,764
394,803
3192,142
2730,463
1721,297
3879,204
2464,206
4050,26
2226,548
3234,885
4041,501
2301,761
2577,858
4657,740
592,513
4908,725
1230,519
3921,117
2437,417
4910,514
681,365
2350,396
2537,533
1076,624
1773,54
2463,297
2782,534
1775,554
2874,882
146,445
2503,208
2421,301
1915,847
657,96
3349,546
384,629
4826,834
555,10
1861,234
1693,199
4069,154
1232,938
3176,862
1938,492
3116,660
1588,276
2358,103
3886,283
412,480
1917,337
3292,407
3350,890
2675,25
4250,519
2351,469
166,610
4602,942
4614,816
1750,441
3350,314
1205,968
2944,523
3839,264
2242,759
3716,928
2209,15
2050,339
3589,743
3256,466
3844,224
4043,403
4968,14
2295,349
3865,846
4786,132
4122,241
1864,465
3662,812
4203,214
3348,28
2445,552
584,698
458,22
1506,247
3439,572
72,248
1074,269
3193,32
1736,646
3035,982
3928,355
2938,313
2606,658
2585,301
3920,197
1495,197
269,64
4080,523
261,449
1663,45
891,466
1523,939
2856,296
3922,339
1127,202
3176,194
4235,367
2285,23
1578,701
1613,969
3564,779
4485,346
2132,11
152,568
2836,881
2605,8
2485,981
850,911
4032,359
4160,714
3168,109
212,878
2685,464
2795,822
3352,954
4236,998
4388,750
686,943
4385,644
3403,439
72,501
2711,366
2433,789
1468,664
27,797
3078,293
4666,523
3201,71
3337,749
260,119
1156,583
2932,566
2083,700
531,687
1573,27
4278,736
596,748
2455,958
4765,64
3907,223
4222,598
1358,448
4359,150
3070,757
3594,589
4294,521
3591,328
4126,196
4373,779
4119,99
721,89
872,758
3977,244
3389,41
2164,895
449,764
3380,684
2630,458
1612,861
2078,720
2283,497
3773,672
368,783
3720,642
1208,188
337,348
1533,497
2338,233
1245,777
4709,242
4863,103
4897,902
47,55
2319,497
4996,910
176,509
2802,454
3327,392
682,934
4791,612
4484,516
4869,864
3118,671
1397,440
3259,702
3084,125
2209,67
3283,883
558,555
1129,409
1247,24
4093,1
55,285
2376,493
1826,863
1466,266
0,318
1652,416
162,109
1584,852
2201,544
4396,208
2092,810
3888,981
2988,926
1484,106
965,145
3084,193
3332,620
2628,941
2381,223
783,956
831,237
2754,321
2609,844
547,275
1969,300
247,549
1894,411
3417,668
4195,690
1594,450
3160,844
3812,115
4376,672
2085,796
4233,137
422,943
2547,35
4024,513
3955,700
3881,419
4016,917
2585,300
2326,393
983,178
1961,83
687,81
2930,346
4359,257
3704,303
1338,222
4749,257
2741,518
1951,254
1131,635
3829,422
3731,689
4954,615
2304,463
1942,812
3518,955
1150,249
2023,572
1201,269
1463,253
275,888
739,39
438,722
1407,193
1459,559
3412,532
2003,776
3539,397
3087,661
4353,408
2327,307
2720,136
4891,204
3883,285
4739,998
2726,881
4568,364
4494,678
4637,649
3658,95
434,242
2051,401
2868,825
869,815
2247,959
4074,147
4561,910
2347,78
1948,738
390,590
2304,882
3174,16
2387,554
4315,74
4538,256
2354,757
2477,981
2328,909
48,862
2619,594
2770,951
3194,852
1204,847
4200,93
4108,166
1429,670
1214,985
2693,192
2911,91
415,25
248,471
938,748
250,248
2513,507
2320,532
3448,926
3684,291
1779,243
1395,15
2730,18
3776,775
1363,418
233,131
2561,836
2140,400
591,487
3894,812
3473,663
928,698
2028,802
4809,268
3874,322
739,522
3168,159
1593,248
1921,540
939,649
4017,817
1916,227
4710,147
3066,417
4657,20
1949,755
2899,884
2855,575
2217,485
3992,89
3853,128
3671,796
4876,460
3603,674
1489,321
756,508
1659,997
239,874
3659,248
3336,457
133,392
4668,307
3434,145
324,151
2886,961
3764,3
3823,580
423,14
38,566
3196,945
770,114
4051,303
4094,753
889,863
4087,459
2894,663
973,96
1286,865
1529,594
3499,950
3436,359
3454,412
4126,195
904,421
680,424
2103,407
2679,884
4143,204
585,692
705,561
4316,67
887,226
3315,929
2995,60
3095,630
1294,222
3094,80
1897,604
1980,720
2872,412
1202,520
2783,582
1298,904
1836,965
2766,41
1451,374
2608,249
4261,69
1168,234
3177,816
3185,104
3658,918
3581,224
1679,719
979,440
3190,284
2098,932
1515,304
1196,361
237,577
274,664
1191,467
2735,758
2589,24
4532,646
4612,493
1185,220
2137,991
1145,510
2703,398
385,12
4880,476
2677,282
4889,826
931,362
4481,482
2447,645
985,662
2034,483
1353,648
1366,292
4508,174
3743,745
4895,744
4179,257
789,769
431,331
803,340
3335,81
4048,551
1791,765
3947,175
4624,611
2680,447
4920,451
3271,97
3485,502
3616,683
442,312
3993,893
2389,136
3656,52
2812,940
2848,549
1783,802
3753,484
666,940
4287,767
600,338
4801,371
4630,223
4321,609
2248,916
2186,135
1509,883
4856,957
4961,81
2772,75
4332,984
4577,228
962,12
2695,202
2213,813
2283,14
1595,719
1760,302
4470,106
136,59
4678,186
2965,274
807,426
4082,783
444,650
1247,683
1427,985
667,25
2094,648
3827,620
4125,8
1132,279
1278,156
1464,999
4727,403
4783,541
1953,498
2056,572
1702,536
2777,377
1038,506
2933,540
274,31
1373,837
1832,196
3033,961
2086,134
2699,607
4360,266
4220,578
1019,926
2968,134
2459,661
259,581
1354,606
906,549
3351,154
362,0
280,410
632,422
2278,171
2051,3
2925,138
1863,618
2529,92
511,503
1728,605
4283,974
71,504
4910,758
2887,910
2163,225
2984,348
1109,190
346,138
2587,123
457,511
1996,215
3359,815
1440,225
4859,204
297,524
2036,240
2913,680
4972,44
3397,879
3745,380
4457,206
996,654
2175,262
477,817
627,67
3535,404
3163,718
4860,965
4617,166
3541,982
4034,5
4173,624
4048,232
1400,784
4455,562
4766,162
1908,118
4067,649
1930,364
3790,4
597,462
221,422
2465,359
3658,19
1317,982
1049,58
4112,719
4069,341
924,123
500,544
2421,601
391,109
4450,878
4284,394
4558,887
951,430
278,767
3416,941
2814,222
1106,562
820,764
15,286
4530,669
1619,273
4570,10
3652,813
4376,998
2306,593
3138,914
1389,832
944,37
287,534
1126,504
767,280
3228,874
1675,113
4548,245
632,864
4992,560
2356,391
1711,958
2924,90
2848,86
4239,21
2975,606
3689,666
4370,24
2954,934
1194,137
235,329
3647,171
4484,705
4161,619
4307,681
3686,584
1924,154
3164,704
3138,637
3983,115
532,372
1912,538
1974,677
3204,357
894,818
1854,338
2375,33
4905,133
1968,679
4509,847
2575,504
150,382
3575,547
1817,474
4995,984
774,945
2374,522
4370,713
2009,242
4753,325
4916,759
2288,773
1622,682
1850,353
1979,842
1335,161
3989,654
2743,62
209,732
516,942
3755,755
2097,456
2164,765
613,363
3505,277
603,923
3906,744
1594,755
463,261
845,302
341,690
2795,417
944,679
4714,81
4579,791
671,409
646,125
3686,90
2953,384
703,318
1153,610
1752,489
3336,754
2484,61
3846,546
3594,940
3276,607
1070,523
3709,276
607,42
2729,294
346,233
1954,926
3815,529
4976,928
1623,158
2450,941
4213,567
4977,410
3849,854
734,542
3035,756
1392,650
2357,796
1447,452
4512,978
2794,972
792,327
245,936
1688,703
113,790
3726,39
3392,719
1189,997
913,193
677,251
4375,676
4518,396
3522,107
1368,70
25,63
3482,866
852,75
4134,685
3698,805
414,198
2145,503
4626,216
4698,513
2187,997
2027,174
738,437
4125,167
4320,887
2991,145
1043,522
1135,123
3356,250
338,980
4242,710
2321,837
2310,68
2031,273
2202,73
229,558
1939,511
1102,487
1954,470
3421,904
3168,690
3494,478
953,795
1535,442
4829,257
2259,916
3949,237
1883,446
4417,197
1275,438
3780,746
1089,710
517,667
669,313
0,597
856,460
4543,511
1887,599
4170,949
1221,512
2372,193
347,458
975,377
95,270
3945,993
2200,712
2673,642
3282,957
388,936
4362,560
3808,436
3743,814
2905,330
3987,410
1546,906
4668,82
160,473
4124,58
65,821
1730,405
2749,770
2018,817
542,241
2182,601
2445,2
2542,256
4893,37
1291,815
1992,478
3788,109
4180,304
765,455
242,14
370,982
3948,503
2677,357
381,40
4834,639
4938,199
1713,658
3019,596
3275,757
4045,414
4298,257
4779,248
2972,988
4509,641
4598,928
3643,222
1065,46
1747,499
4349,212
2920,384
3314,15
3381,890
4060,534
3172,460
920,486
3453,997
2759,91
3902,639
4591,716
2853,309
3734,198
2551,778
4038,218
2428,6
1298,192
3199,255
36,953
2203,908
3515,585
601,265
786,151
1643,604
1952,382
3102,397
1106,96
2573,708
4452,148
957,648
1702,290
1043,915
2237,599
1774,658
3344,496
28,243
3243,495
2649,227
2714,189
3244,896
1266,723
3312,705
1369,72
4358,254
288,30
491,774
2533,602
878,404
4434,516
4590,428
2181,576
4594,271
3232,396
369,645
3940,910
4471,676
2896,87
2253,337
4444,969
2795,487
1455,400
2630,314
4485,842
4520,660
4021,869
4685,3
4825,110
882,734
167,197
3073,851
130,266
286,867
734,427
3941,702
2162,648
1797,629
1447,249
720,114
1129,75
3363,34
1113,133
4666,544
2282,775
572,530
1272,809
679,874
3563,992
698,410
4123,783
2853,325
2536,887
2890,954
884,378
640,555
2050,427
2667,906
2471,999
4318,810
2021,884
4471,847
2848,81
1518,271
4866,211
1693,53
1089,911
4905,188
1783,953
4337,941
2800,507
3514,350
4616,829
4062,121
1614,998
1376,559
1035,642
5,295
725,664
222,547
2221,703
567,156
4918,430
3934,67
3023,437
2737,93
2643,700
2257,822
2704,632
666,135
2486,722
2151,136
1189,745
3665,665
4949,478
2642,184
4665,729
837,935
4617,54
1720,560
1416,821
1118,239
1250,875
1516,313
1282,574
4598,866
3937,783
1391,742
3580,941
4973,760
930,952
189,55
107,498
1832,999
1661,769
3737,119
2641,238
3472,16
1860,233
4049,704
2013,683
1513,326
2468,311
1124,907
2392,464
1210,803
3076,352
2496,612
4222,76
3725,443
4717,668
1638,952
933,828
264,516
1535,641
4765,889
2472,328
3812,811
3853,839
3142,16
1708,942
4345,805
4413,496
3263,776
1820,323
2345,322
4120,798
1260,149
465,806
3390,477
3930,590
2774,76
3611,319
3908,289
375,983
3098,992
2374,537
4985,357
1674,510
723,892
2374,626
2517,977
2419,274
676,353
2325,433
4424,43
2166,114
4472,506
932,229
169,536
1672,959
4821,170
1609,64
4504,735
4827,270
2393,921
899,441
1288,892
4387,772
1020,283
3460,936
1986,944
3918,744
3105,420
2272,934
4101,127
1967,249
1918,378
4304,801
222,621
3625,592
664,432
3872,851
1535,561
2363,652
4133,81
3172,255
1881,535
3912,963
3708,650
1029,115
2782,184
2053,973
3184,127
2136,897
4435,917
2760,227
1427,404
1,772
3648,129
2245,123
4340,825
4551,383
2958,342
1184,724
1470,230
1932,68
2208,882
529,544
3339,543
4197,930
1033,79
1876,109
3216,611
978,877
1407,904
3770,444
274,58
3053,404
191,536
2005,388
1950,778
1424,905
1426,328
1206,847
3427,681
4907,939
1255,197
918,878
3759,377
1873,748
552,318
953,724
433,6
3626,896
1125,761
3921,928
4346,690
2892,834
2225,123
4950,20
3315,827
4972,814
4294,229
1309,918
923,526
4600,859
1852,534
2497,461
3730,980
3584,798
3519,685
1349,647
4362,140
595,243
4569,982
3256,926
34,87
3511,639
2913,908
1417,223
1296,565
2671,671
3803,196
4713,135
3881,985
3355,23
30,409
319,123
2750,163
2048,35
3922,218
508,264
160,616
1773,662
269,328
3629,433
477,393
376,242
3405,200
2596,260
1922,153
4198,876
1354,402
3801,211
4800,554
4932,72
1765,576
3118,204
4409,986
739,429
2037,634
843,724
1770,183
971,886
4535,243
4771,429
4230,414
2857,312
3375,932
4731,518
94,180
1816,963
1605,453
4142,171
3876,415
1834,968
1157,423
4630,790
732,683
4456,151
1180,709
1342,601
697,387
4755,616
3454,225
3250,927
2824,87
2454,210
4933,166
3734,99
3809,708
61,680
1237,719
2439,115
716,206
1838,199
904,20
720,421
4085,329
3333,295
601,942
178,812
3682,798
4165,663
4206,872
1017,540
3928,113
3354,508
672,660
3955,687
3548,770
207,647
2366,120
2298,667
4765,604
200,210
1473,43
3556,127
894,383
1944,397
3627,426
650,913
1113,357
380,80
2626,528
975,454
795,659
657,884
374,826
3242,731
2530,816
3065,161
2101,728
80,226
4226,401
1,820
3009,417
2469,40
763,397
804,609
1544,805
4890,311
2924,748
2304,42
4393,860
2935,139
3752,434
1304,259
80,232
1673,428
2612,344
1836,174
4243,959
2055,975
2828,366
2715,777
2584,424
505,170
834,635
1059,202
3710,969
2974,404
3782,467
619,925
2745,517
1332,788
616,324
11,740
1280,639
474,184
1651,410
2370,366
3505,368
2776,479
3894,801
1931,221
212,926
3893,898
1634,883
3791,845
2933,263
3315,27
1104,826
3501,62
2891,347
320,83
753,65
1772,444
4748,969
4167,829
4140,605
4286,737
749,359
4384,221
4285,664
1906,626
1632,47
1317,104
1282,482
2032,102
4322,413
115,535
4097,104
4071,209
2681,844
1149,112
2690,597
707,478
3583,896
3432,232
2566,407
1548,817
2709,412
4395,637
3514,92
56,348
2992,588
4899,283
4244,356
774,14
3515,730
1562,901
465,351
1027,799
476,811
450,186
18,598
990,566
686,874
3335,725
3444,626
2568,873
278,523
3058,433
210,265
1526,469
1274,789
4912,529
1418,312
1098,507
2157,888
4834,865
2754,408
4984,641
1496,732
3211,847
769,439
1117,313
83,745
2631,265
228,847
3287,991
1752,721
1477,997
3776,533
845,482
4295,353
3462,758
2684,477
2150,446
4175,381
3218,91
3055,44
4063,581
2932,886
4361,807
3610,800
2357,538
2117,368
4236,542
2648,699
2622,200
2369,174
217,26
1789,53
1112,249
3262,101
2004,710
1597,924
4986,726
4555,618
2196,269
2945,496
1418,49
4240,745
1730,710
2789,561
2639,439
4925,941
432,222
757,489
4765,23
806,180
2961,122
3500,438
3219,292
2197,595
1080,688
341,43
1422,417
1087,357
358,232
291,624
3438,415
1489,548
4269,521
132,591
2319,934
1515,731
2814,350
1870,10
581,466
3724,569
4906,321
3716,999
2211,648
3158,673
1092,533
132,212
3750,425
2714,65
4909,177
4404,603
2858,263
3538,392
3752,201
3262,459
3168,940
2699,926
942,801
4418,643
2890,307
945,89
1575,19
2882,858
4790,81
4574,686
1647,556
3636,321
3080,713
593,685
4,168
3534,904
402,840
2855,479
3284,968
719,215
3727,938
2330,76
4643,442
1221,486
4457,127
1811,245
2945,565
3651,52
544,994
2184,480
1989,329
2053,865
2558,316
2523,753
453,578
4543,648
2492,701
3217,354
3115,679
1548,590
2268,20
4504,899
1890,850
1179,528
4850,311
1553,488
353,53
2080,601
4647,37
3643,865
2848,348
1931,643
2427,327
4459,913
3723,698
3795,329
1541,28
1763,718
3273,194
3453,492
1142,864
3954,732
3097,46
3748,920
2445,772
1341,792
3991,33
3482,446
1672,414
1902,691
293,365
4453,143
4077,194
4847,251
430,369
3001,73
2195,725
2894,559
438,398
1337,725
3540,593
1938,809
2392,874
4207,813
3629,554
4430,975
4617,36
3856,854
939,802
2012,625
131,139
2655,465
3538,809
1844,771
2345,877
3108,580
1032,56
3296,523
1308,448
4198,333
3944,742
4477,398
541,51
4358,469
709,792
1911,919
4368,171
3450,348
3242,987
339,884
1613,546
3542,103
457,61
3851,187
3761,937
277,966
3496,165
3445,674
4340,531
4560,872
1969,543
493,417
3728,411
1650,637
3306,261
4720,274
2981,47
4538,477
3462,76
3036,181
124,561
106,160
539,77
3779,638
1569,785
837,540
4270,774
1466,97
271,280
4611,93
3269,810
3597,376
155,515
2438,362
3422,957
3693,861
772,515
1717,378
3697,971
3396,278
4358,350
2087,665
4882,936
4463,82
4298,652
4687,716
4328,213
4924,497
1741,152
4661,175
2712,167
2459,530
4046,811
2427,625
2764,768
504,790
3628,189
4397,23
1151,872
3042,285
3798,424
576,26
2295,412
3905,816
383,830
1517,306
3773,128
4878,295
1559,415
3854,320
1038,314
107,754
2677,237
381,357
3963,139
143,224
4532,812
2636,0
692,476
2626,678
4774,974
2037,678
668,733
1269,321
4536,399
187,5
2773,155
393,401
445,878
4365,933
1670,866
2215,474
1237,582
3712,671
1826,743
3943,97
652,681
3722,920
1444,169
4761,980
4353,403
2336,11
2520,530
4731,891
99,138
223,1
475,6
2942,697
2026,651
3374,358
2448,479
137,17
4982,462
1670,37
3164,650
1355,718
3436,127
3310,534
3337,73
2852,74
4531,3
4859,533
3144,91
4344,675
2993,30
3780,3
4140,850
2256,351
921,771
2818,636
3520,838
3302,550
4183,715
1677,854
1679,143
3242,244
523,197
860,271
3181,754
2285,743
4380,521
4951,706
188,416
4121,123
4751,355
1315,180
1953,494
2710,617
3447,239
1026,295
1515,954
2236,790
1717,698
3142,17
3940,191
3026,89
3566,611
4363,664
2688,640
3314,736
3518,345
2479,97
238,453
3698,305
2393,575
2736,351
4094,952
915,444
855,462
4041,941
738,66
1509,424
1708,458
842,565
4082,657
503,834
708,926
1432,827
2567,323
1598,758
3006,762
2104,90
4733,361
3855,238
1848,605
2719,133
4440,588
4079,359
816,206
3910,265
4709,643
475,899
3226,402
3283,839
1075,682
3793,369
4413,287
2823,340
3043,570
2432,453
2721,940
3055,262
4344,69
203,383
714,247
521,721
3233,324
1463,10
2720,554
2317,930
782,593
4792,610
4829,963
1356,289
3030,994
239,388
52,495
1342,935
1261,758
115,538
1233,173
3972,638
3349,958
4599,744
2475,377
2100,774
2098,23
4180,881
609,459
3646,100
1916,305
2352,237
3010,967
1432,917
2717,331
2606,668
2572,543
2468,475
4090,844
3744,777
4392,918
4160,925
2164,970
2821,247
3710,816
151,423
215,651
2457,342
3886,601
2102,543
895,94
3912,481
1506,148
969,856
3830,401
3774,674
1653,268
3903,164
1176,721
3585,444
3013,333
134,618
4985,870
2431,64
1795,808
215,369
2413,282
2385,889
4856,114
4818,586
2769,48
1162,265
2217,67
1643,994
4509,84
1468,66
2931,799
4948,198
3100,692
4703,137
245,697
676,28
2982,197
3456,69
2152,502
3887,14
1838,28
2679,490
4250,914
4874,241
3094,294
4078,8
1004,81
2465,391
2866,53
3435,664
879,35
2371,4
4633,759
3680,296
1966,610
2957,302
3997,200
841,488
1626,302
1961,811
4608,148
74,235
2537,549
1228,917
2866,59
323,926
1514,913
554,767
4061,477
3921,153
330,966
160,652
1812,781
3813,683
91,848
1873,392
2395,421
873,761
3025,940
2914,635
1629,969
4954,903
4595,20
1685,23
2310,740
663,239
57,359
2607,414
910,742
1994,131
1125,844
3026,894
1299,171
3487,815
3091,565
401,540
1376,630
1720,731
212,599
465,525
399,495
2584,881
3120,144
2215,990
967,578
1776,216
3608,375
3823,695
576,400
4372,408
3981,315
3500,341
333,816
111,264
2233,979
3435,301
1455,931
4373,485
2903,202
3412,364
1538,494
4404,776
903,719
98,697
2081,409
4242,759
4233,781
4133,110
4847,851
365,657
1346,747
3016,914
2906,454
993,653
2950,973
87,928
253,391
3897,182
1050,187
3198,526
1895,496
4152,131
1596,221
559,190
945,815
4821,690
3774,634
4164,849
1575,287
3226,654
3803,215
2128,517
801,664
4935,23
678,929
106,772
2413,827
2786,594
3776,939
2326,728
452,776
3452,134
373,855
1652,418
1153,590
4845,43
3091,758
4350,911
466,472
2724,874
2232,394
637,654
2204,211
72,760
4258,557
