Hospital_ID,Hospital_name,Hospital_adderss,Hospital_phone_number
0,安達動物醫院苗栗分院《寵物重症治療》寵物外科｜腹膜透析｜高階儀器檢查與共享,36045台灣苗栗縣苗栗市中華路195號,03 726 0609
1,安達動物醫院苗栗分院《寵物重症治療》寵物外科｜腹膜透析｜高階儀器檢查與共享,36045台灣苗栗縣苗栗市中華路195號,03 726 0609
2,銅鑼元宏獸醫診所,366台灣苗栗縣銅鑼鄉郵電街13號,03 798 1328
3,凱亞動物醫院,260台灣宜蘭縣宜蘭市和睦路1-30號,03 932 5670
4,美崙動物醫院,970台灣花蓮縣花蓮市中華路154號,03 831 1092
5,大群動物醫院,116台灣台北市文山區羅斯福路六段206號,02 2930 5557
6,安生動物醫院,351台灣苗栗縣頭份市中華路975號,03 766 9821
7,長宏動物醫院,10491台灣台北市中山區吉林路173號,02 2567 8939
8,仁德動物醫院,300台灣新竹市北區北大路220號,03 525 0313
9,佳佳動物醫院,632台灣雲林縣虎尾鎮立仁街65號1樓,05 632 2869
10,人人動物醫院,970台灣花蓮縣花蓮市林森路67號 號,03 835 5305
11,沐恩動物醫院,404台灣台中市北區健行路865號,04 2207 7271
12,永安動物醫院,973台灣花蓮縣吉安鄉吉安路一段81號,03 856 3566
13,聖心動物醫院,350台灣苗栗縣竹南鎮環市路一段205號,03 746 1332
14,好牧人動物醫院,97064台灣花蓮縣花蓮市中美路206號,03 832 1385
15,中華動物醫院,436台灣台中市清水區中山路503號,0911 137 723
16,山豬動物醫院,70842台灣台南市安平區平通路525號,06 299 1006
17,元碩動物醫院,822台灣高雄市阿蓮區中山路235號,07 631 1831
18,寵樂動物醫院,106台灣台北市大安區文昌街89號,02 2708 7967
19,紐約動物醫院,"1F No. 247號, 民族路東區新竹市台灣 300",03 515 2125
20,協和動物醫院,437台灣大甲區中山路一段825號,04 2688 0633
21,豐德動物醫院,110台灣台北市信義區莊敬路235號,02 2758 8292
22,珍愛動物醫院,600台灣嘉義市東區湖美一路1158號,05 225 9636
23,忠愛動物醫院 24H急重症加護中心(急診請來電) / 愛米樂寵物美容,510台灣彰化縣員林市中山路二段490號,04 833 5520
24,恆生動物醫院,320台灣桃園市中壢區中美路一段13號,03 425 1893
25,台中 健生動物醫院,412台灣台中市大里區東榮路306號,04 2481 8966
26,禾宇動物醫院-寵物內外科|嘉義縣中獸醫|寵物牙科|大林動物醫院|寵物健檢|嘉義縣動物醫院推薦,622台灣嘉義縣大林鎮民生北路90號,05 265 9055
27,永佳家畜診所(原吳獸醫),545台灣南投縣埔里鎮大城路8-2號,04 9298 8953
28,晨光動物醫院,103台灣台北市大同區重慶北路二段47號,02 2558 3347
29,聯心動物醫院,710台灣台南市永康區中華路714號,06 302 6658
30,廣慈動物醫院,700台灣台南市中西區府前路二段199號,06 228 8126
31,弘安動物醫院,64049台灣雲林縣斗六市西平路276號,05 533 3536
32,維安動物醫院,220台灣新北市板橋區四維路174號之3號,02 2256 3107
33,小樹動物醫院-左營動物醫院推薦|心臟專業動物醫院|動物醫院|獸醫推薦|寵物醫院|眼科專業動物醫院,81365台灣高雄市左營區孟子路583號,07 341 2291
34,佳昇動物醫院,640台灣雲林縣斗六市西平路303號,05 551 1660
35,呈品動物醫院,320台灣桃園市中壢區中豐路359號,03 280 6070
36,你我牠動物醫院—高壓氧曁四級雷射重症加護病房｜ 鼠兔門診｜寵物美容,600台灣嘉義市西區新榮路241號,05 228 3568
37,埔里動物醫院,545台灣南投縣埔里鎮中山路三段445號,04 9291 6650
38,西螺程動物醫院,"No, No. 378 號, No. 378 號平和南路西螺鎮雲林縣台灣 648",05 587 7081
39,新方伴侶動物醫院,300台灣新竹市東區金城三路1號,03 666 7657
40,樂樂動物醫院（週一公休）,404台灣台中市北區中清路一段418號,04 2208 5862
41,興泰動物醫院 24hr急診重症中心,10558台灣台北市松山區延吉街57號一樓,02 2579 5722
42,斗六動物醫院,640台灣雲林縣斗六市雲林路一段82號,05 532 5013
43,佑仁動物醫院,106台灣大安區和平東路一段200號,02 2363 5377
44,中華動物醫院,950台灣台東縣台東市中華路二段325號,08 932 1686
45,博愛動物醫院,885台灣澎湖縣湖西鄉澎湖縣湖西鄉青螺村青螺13之1號,06 992 1268
46,陽光動物醫院,403台灣台中市西區中華路一段3-5號,04 2226 2579
47,欣欣動物醫院,110台灣台北市信義區松隆路286-1號,02 2768 1119
48,麥寮安安動物醫院,638台灣雲林縣麥寮鄉中山路603號,05 693 0809
49,欣欣動物醫院,640台灣雲林縣斗六市成功路519-1號640,05 533 1122
50,小胖貓動物診所,880台灣澎湖縣馬公市88051澎湖縣馬公196號,06 922 1362
51,台大動物醫院,265台灣宜蘭縣羅東鎮愛國路86號,03 954 8581
52,全國動物醫院 中科分院,407台灣台中市西屯區福林里福科路537號,04 2461 7968
53,國際犬貓醫院,63246台灣雲林縣虎尾鎮林森路二段180號,05 632 4100
54,丸三動物醫院,600台灣嘉義市東區中山路234號,05 225 9429
55,全安動物醫院,114台灣內湖區東湖路113巷54號,02 2633 6495
56,米克斯動物醫院,884台灣澎湖縣白沙鄉講美村138-1號,06 993 2932
57,歐陽動物醫院,408台灣台中市南屯區惠中路三段68號,04 2381 5800
58,杜瑪犬貓專科醫院-夜間急診 24小時氧氣加護病房 心臟科 牙科 貓咪友善醫院-新竹動物急診 動物心臟病 寵物牙科 獸醫推薦 動物醫院推薦,300台灣新竹市北區東大路二段147號,03 542 8119
59,中壢青青動物醫院（21:00後急診請先電聯，僅有一位醫生，未接代表當下手術或急救無法接診，敬請見諒）,320台灣桃園市中壢區永能路35號,03 287 2330
60,欣利康寵物醫院湖東店,中國福建省廈門市思明區F4J5+H2F 邮政编码: 361000,0592 510 8379
61,長弘動物醫院,710台灣台南市永康區正強街139號,06 232 3377
62,樂莫動物醫院,411台灣台中市太平區宜昌路550號,04 2277 9688
63,旺旺動物醫院,268台灣宜蘭縣五結鄉自強路42巷91號,03 950 8736
64,祐田動物醫院,406台灣台中市北屯區崇德二路一段28號,04 2247 5349
65,保生動物醫院,622台灣嘉義縣大林鎮四維街138號,05 265 5193
66,寵愛動物醫院,811台灣高雄市楠梓區後勁西路236號,07 366 1333
67,佳恩動物醫院,402台灣台中市南區美村路二段88號,04 2371 3806
68,心語動物醫院,950台灣台東縣台東市新展街45號,08 922 5668
69,莫耳動物醫院,360台灣苗栗縣苗栗市為公路328號,0975 111 988
